name,world_ranking,region_ranking,country_ranking,region,country,city\state,acceptance_rate,publication,website,phone_no,address
Delft University of Technology,"#140 of 14,131","#38 of 2,785",#3 of 58,Europe,Netherlands,Groningen,41%,"82,950",www.tudelft.nl,+31 (15) 27 89111,"Stevinweg 1
 Delft, South Holland, 2628 CN 
Netherlands"
Dresden University of Technology,,,,Europe,Finland,Helsinki,68%,"63,645",tu-dresden.de,+49 (351) 4630,"Mommsenstrasse 11
 Dresden, Saxony, 01069 
Germany"
Drexel University,,,,Europe,Netherlands,Utrecht,58%,"45,569",drexel.edu,2158952000,"3141 Chestnut St
 Philadelphia, Pennsylvania, 19104 
United States"
Duke University,"#22 of 14,131","#18 of 2,597","#17 of 2,496",Asia,China,Hong Kong,,"178,305",duke.edu,9196848111,"103 Allen Bldg
 Durham, North Carolina, 27708 
United States"
Durham University,"#178 of 14,131","#58 of 2,785",#17 of 163,Asia,Japan,Sendai,15%,"78,063",www.dur.ac.uk,+44 (191) 334 2000,"The Palatine Centre, Stockton Road
 Durham, North East England, DH1 3LE 
United Kingdom"
Emory University,"#83 of 14,131","#58 of 2,597","#54 of 2,496",Europe,Netherlands,Wageningen,57%,"110,482",www.emory.edu,4047276123,"201 Dowman Drive
 Atlanta, Georgia, 30322 
United States"
Erasmus University Rotterdam,"#189 of 14,131","#64 of 2,785",#7 of 58,North America,United States,Missouri,78%,"81,477",www.eur.nl,+31 (10) 408 1111,"Burgemeester Oudlaan 50
 Rotterdam, South Holland, 3062 PA 
Netherlands"
Federal Institute of Technology Lausanne,"#120 of 14,131","#31 of 2,785",#3 of 23,Europe,Germany,Baden-Wurttemberg,5%,"87,775",www.epfl.ch,+41 (21) 693 1111,"Ecublens
 Lausanne, Vaud, 1015 
Switzerland"
Federal University of Minas Gerais,,,,North America,Canada,Ontario,43%,"77,881",ufmg.br,+55 (31) 3409 5000,"Avenida Presidente Antônio Carlos 6627 - Pampulha
 Belo Horizonte, Minas Gerais, 31270-901 
Brazil"
Federal University of Rio de Janeiro,,,,Europe,Germany,Baden-Wurttemberg,19%,"90,932",ufrj.br,+55 (21) 2598 9603,"Avenida Pedro Calmon, 550
 Rio de Janeiro, Rio de Janeiro, 21941-901 
Brazil"
Federal University of Rio Grande do Sul,,,,North America,United States,Indiana,76%,"92,538",www.ufrgs.br,+55 (51) 3308 3142,"Avenida Paulo Gama 110- Farroupilha
 Porto Alegre, Rio Grande do Sul, 90040-060 
Brazil"
Federico II University of Naples,,,,North America,United States,Illinois,8%,"60,031",www.unina.it,+39 081 547 7200,"Corso Umberto I, 40
 Napoli, Campania, 80138 
Italy"
Florida State University,"#135 of 14,131","#80 of 2,597","#71 of 2,496",Europe,France,Ile-de-France,44%,"58,127",www.fsu.edu,8506442525,"222 S. Copeland Street
 Tallahassee, Florida, 32306-1037 
United States"
Free University Amsterdam,"#167 of 14,131","#53 of 2,785",#6 of 58,North America,Canada,Ontario,71%,"68,328",vu.nl,+31 (20) 598 5000,"De Boelelaan 1105
 Amsterdam, North Holland, 1081 HV 
Netherlands"
Free University of Berlin,"#152 of 14,131","#46 of 2,785",#8 of 369,North America,United States,Indiana,38%,"60,237",www.fu-berlin.de,+49 (30) 8381,"Kaiserswerther Strasse 16-18
 Berlin, Berlin, 14195 
Germany"
Free University of Brussels,,,,Europe,United Kingdom,England,21%,"51,928",www.ulb.be,+32 (2) 650 2111,"Avenue Franklin Roosevelt, 50
 Brussels, Brussels, 1050 
Belgium"
Friedrich Schiller University of Jena,,,,North America,United States,Michigan,26%,"41,512",www.uni-jena.de,,"Fürstengraben 1
 Jena, Thuringia, 07743 
Germany"
Fudan University,"#164 of 14,131","#17 of 5,830",#7 of 960,Europe,United Kingdom,England,21%,"120,614",www.fudan.edu.cn,+86 (21) 6564 2258,"220 Handan Road
 Shanghai, Shanghai, 200433 
China"
George Mason University,,,,North America,United States,Rhode Island,37%,"38,355",gmu.edu,7039931000,"4400 University Dr
 Fairfax, Virginia, 22030-4444 
United States"
George Washington University,"#132 of 14,131","#78 of 2,597","#70 of 2,496",Europe,Russia,Moscow,52%,"52,663",www.gwu.edu,2029941000,"1918 F Street, NW
 Washington, District of Columbia, 20052 
United States"
Georgetown University,"#136 of 14,131","#81 of 2,597","#72 of 2,496",Europe,Netherlands,Leiden,45%,"41,162",www.georgetown.edu,2026870100,"37th and O St NW
 Washington, District of Columbia, 20057-0001 
United States"
Georgia Institute of Technology,"#67 of 14,131","#51 of 2,597","#48 of 2,496",Europe,Sweden,Stockholm,,"107,016",www.gatech.edu,4048942000,"225 North Ave
 Atlanta, Georgia, 30332-0530 
United States"
Georgia State University,,,,North America,United States,Massachusetts,7%,"33,869",www.gsu.edu,4044132000,"33 gilmer st
 Atlanta, Georgia, 30303-3083 
United States"
Ghent University,"#116 of 14,131","#30 of 2,785",#2 of 63,Europe,Germany,North Rhine-Westphalia,45%,"99,103",www.ugent.be,+32 (9) 264 3011,"Sint-Pietersnieuwstraat 25
 Ghent, East Flanders, 9000 
Belgium"
Harvard University,"#1 of 14,131","#1 of 2,597","#1 of 2,496",Europe,Spain,Granada,,"478,072",www.harvard.edu,6174951000,"Massachusetts Hall
 Cambridge, Massachusetts, 02138 
United States"
Hebrew University of Jerusalem,"#143 of 14,131","#13 of 5,830",#2 of 36,Asia,China,Hong Kong,20%,"87,321",null,+972 (2) 588 2111,"Mount Scopus
 Jerusalem, Jerusalem District, 91905 
Israel"
Heidelberg University - Germany,"#74 of 14,131","#12 of 2,785",#2 of 369,Latin America,Brazil,Rio de Janeiro,,"107,043",www.uni-heidelberg.de,+49 (6221) 540,"Grabengasse 1
 Heidelberg, Baden-Wurttemberg, 69117 
Germany"
Hokkaido University,"#196 of 14,131","#19 of 5,830",#7 of 719,North America,Canada,Quebec State,59%,"104,130",www.hokudai.ac.jp,+81 (11) 716 2111,"Nishi 5 Kita 8, Kita-ku
 Sapporo, Hokkaido, 060-0808 
Japan"
Hong Kong Polytechnic University,,,,North America,United States,North Carolina,55%,"67,052",www.polyu.edu.hk,+852 2766 5111,"Hung Hom
 Hong Kong 
China"
Huazhong University of Science and Technology,,,,Oceania,Australia,St Lucia,19%,"121,410",hust.edu.cn,+86 (27) 8754 2157,"1037 Luoyu Road, Hongshan
 Wuhan, Hubei, 430074 
China"
Humboldt University of Berlin,"#153 of 14,131","#47 of 2,785",#9 of 369,Europe,United Kingdom,England,67%,"57,371",www.hu-berlin.de,+49 (30) 2093 0,"Unter den Linden 6
 Berlin, Berlin, 10099 
Germany"
Imperial College London,"#45 of 14,131","#5 of 2,785",#5 of 163,Asia,Israel,Haifa,,"186,925",www.imperial.ac.uk,+44 (20) 7589 5111,"South Kensington Campus, Exhibition Road
 London, London, SW7 2AZ 
United Kingdom"
Indiana University - Bloomington,"#52 of 14,131","#45 of 2,597","#42 of 2,496",Europe,Germany,Schleswig-Holstein,,"138,093",null,8128554848,"107 South Indiana Ave.
 Bloomington, Indiana, 47405-7000 
United States"
Iowa State University,"#89 of 14,131","#60 of 2,597","#56 of 2,496",North America,United States,New York State,34%,"97,889",www.iastate.edu,5152944111,"1750 Beardshear Hall
 Ames, Iowa, 50011-2103 
United States"
Johannes Gutenberg University Mainz,,,,Latin America,Mexico,Mexico City,34%,"63,859",www.uni-mainz.de,+49 (6131) 39-0,"Saarstrasse 21
 Mainz, Rhineland-Palatinate, 55122 
Germany"
Johns Hopkins University,"#14 of 14,131","#12 of 2,597","#12 of 2,496",Latin America,Argentina,Buenos Aires,,"222,807",www.jhu.edu,4105168000,"3400 N Charles St
 Baltimore, Maryland, 21218-2688 
United States"
Kansas State University,,,,North America,United States,California,31%,"40,059",www.k-state.edu,7855326011,"919 Mid-Campus Drive, Anderson Hall
 Manhattan, Kansas, 66506 
United States"
Karlsruhe Institute of Technology,"#181 of 14,131","#60 of 2,785",#12 of 369,Europe,Switzerland,Lausanne,84%,"73,722",www.kit.edu,+49 (721) 608 0,"Kaiserstrasse 12
 Karlsruhe, Baden-Wurttemberg, 76131 
Germany"
Karolinska Institute,"#145 of 14,131","#40 of 2,785",#3 of 39,North America,United States,Washington,69%,"103,846",ki.se,+46 (8) 5248 6400,"Stockholm, Stockholm County, 171 77 
Sweden"
Keio University,"#162 of 14,131","#16 of 5,830",#5 of 719,Europe,United Kingdom,England,96%,"65,910",keio.ac.jp,+81 (3) 5453 4511,"2-15-45 Mita, Minato-ku
 Tokyo, Tokyo, 108-8345 
Japan"
Kiel University,,,,North America,United States,Indiana,70%,"50,338",www.uni-kiel.de,+49 (431) 880 00,"Christian-Albrechts-Platz 4
 Kiel, Schleswig-Holstein, 24118 
Germany"
King's College London,"#79 of 14,131","#14 of 2,785",#7 of 163,Europe,Denmark,Kongens Lyngby,82%,"105,737",www.kcl.ac.uk,+44 (20) 7836 5454,"London Strand
 London, London, WC2R 2LS 
United Kingdom"
KTH Royal Institute of Technology,,,,North America,United States,Georgia,12%,"59,116",www.kth.se,+46 (8) 790 6000,"Valhallavägen 79
 Stockholm, Stockholm County, 100 44 
Sweden"
Kyoto University,"#55 of 14,131","#3 of 5,830",#2 of 719,North America,United States,Texas,,"196,412",www.kyoto-u.ac.jp,+81 (75) 753 7531,"Yoshida-Honmachi
 Kyoto, Kyoto, 606-8501 
Japan"
Kyushu University,"#177 of 14,131","#18 of 5,830",#6 of 719,Europe,Italy,Lombardy,18%,"130,650",www.kyushu-u.ac.jp,+81 (92) 642 2111,"6-10-1 Hakozaki
 Fukuoka, Fukuoka, 812-8581 
Japan"
Laval University,,,,Europe,United Kingdom,England,53%,"63,164",www.ulaval.ca,+1 (418) 656 2131,"2305 Rue de l'Université
 Quebec City, Quebec, G1V O6A 
Canada"
Leiden University,"#165 of 14,131","#51 of 2,785",#5 of 58,North America,United States,District of Columbia,63%,"65,006",www.universiteitleiden.nl,+31 (71) 527 8011,"Rapenburg 73
 Leiden, South Holland, 2311 EZ 
Netherlands"
London School of Economics and Political Science,"#148 of 14,131","#43 of 2,785",#16 of 163,Europe,Germany,Brandenburg,76%,"34,969",www.lse.ac.uk,+44 (20) 7405 7686,"Houghton Street
 London, London, WC2A 2AE 
United Kingdom"
Louisiana State University and Agricultural & Mechanical College,"#160 of 14,131","#88 of 2,597","#78 of 2,496",North America,Canada,Ontario,11%,"68,688",lsu.edu,2255783202,"156 Thomas Boyd Hall
 Baton Rouge, Louisiana, 70803-2750 
United States"
Lund University,"#93 of 14,131","#20 of 2,785",#1 of 39,Europe,Sweden,Gothenburg,62%,"109,613",www.lu.se,,"PO Box 117
 Lund, Skane County, 221 00 
Sweden"
Massachusetts Institute of Technology,"#4 of 14,131","#4 of 2,597","#4 of 2,496",North America,United States,Georgia,,"242,073",mit.edu,6172531000,"77 Massachusetts Avenue
 Cambridge, Massachusetts, 02139-4307 
United States"
McGill University,"#47 of 14,131","#41 of 2,597",#3 of 101,Latin America,Brazil,Campinas,,"144,724",www.mcgill.ca,+1 (514) 369 1342,"845 Sherbrooke Street West
 Montréal, Quebec, H3A 0G4 
Canada"
McMaster University,"#141 of 14,131","#83 of 2,597",#10 of 101,North America,United States,Louisiana,10%,"89,024",mcmaster.ca,+1 (905) 525 9140,"1280 Main Street West
 Hamilton, Ontario, L8S 4L8 
Canada"
Michigan State University,"#40 of 14,131","#35 of 2,597","#33 of 2,496",North America,United States,Florida,,"121,482",msu.edu,5173551855,"220 Trowbridge Road
 East Lansing, Michigan, 48824-1046 
United States"
Monash University,"#114 of 14,131",#6 of 59,#6 of 40,Europe,United Kingdom,England,65%,"90,533",www.monash.edu,+61 (0)3 9905 6000,"Wellington Road
 Clayton, Victoria, 3800 
Australia"
Moscow State University,"#169 of 14,131","#55 of 2,785",#1 of 385,North America,United States,District of Columbia,5%,"110,735",www.msu.ru,+7 (95) 939 1000,"Leninskie Gory
 Moscow, Moscow, 119992 
Russia"
Nagoya University,"#198 of 14,131","#20 of 5,830",#8 of 719,North America,United States,Illinois,9%,"115,115",www.nagoya-u.ac.jp,+81 (52) 789 2044,"Furo-cho, Chikusa-ku
 Nagoya, Aichi, 464-8601 
Japan"
Nanjing University,,,,North America,United States,Florida,82%,"106,518",www.nju.edu.cn,+86 (25) 8359 3186,"22 Hankou Road, Gulou District
 Nanjing, Jiangsu, 210093 
China"
Nanyang Technological University,,,,Europe,United Kingdom,England,56%,"99,798",www.ntu.edu.sg,+65 6791 1744,"50 Nanyang Avenue
 Singapore, 639798 
Singapore"
National and Kapodistrian University of Athens,,,,North America,United States,Massachusetts,23%,"64,302",www.uoa.gr,+30 (210) 368 9771,"odos Panepistimiou 30
 Athens, Attica, 10679 
Greece"
National Autonomous University of Mexico,"#82 of 14,131","#2 of 1,756",#1 of 538,Europe,Germany,Rhineland-Palatinate,32%,"137,605",www.unam.mx,+52 (55) 5622 1280,"Ciudad Universitaria
 Mexico City, Mexico City, 04510 
Mexico"
National Taiwan University,"#118 of 14,131","#9 of 5,830",#1 of 144,Oceania,Australia,Adelaide,77%,"114,772",www.ntu.edu.tw,+886 (2) 2362 6801,"No. 1, Section 4, Roosevelt Road
 Taipei City, Taipei, 10617 
Taiwan"
National University of Singapore,"#85 of 14,131","#5 of 5,830",#1 of 8,North America,United States,Texas,6%,"147,686",nus.edu.sg,+65 6516 1081,"21 Lower Kent Ridge Road
 Singapore, 119077 
Singapore"
New York University,"#25 of 14,131","#21 of 2,597","#20 of 2,496",Europe,United Kingdom,Scotland,,"150,565",null,2129981212,"70 Washington Sq South
 New York, New York, 10012-1091 
United States"
Newcastle University,"#187 of 14,131","#63 of 2,785",#19 of 163,Oceania,Australia,Clayton,65%,"63,050",www.ncl.ac.uk,+44 (191) 208 6000,"King's Gate
 Newcastle upon Tyne, North East England, NE1 7RU 
United Kingdom"
Normal Superior School,"#166 of 14,131","#52 of 2,785",#1 of 224,North America,United States,Florida,32%,"99,156",www.ens.psl.eu,+33 (0)1 44 32 30 00,"45 Rue d'Ulm
 Paris, Ile-de-France, 75230 
France"
North Carolina State University at Raleigh,"#70 of 14,131","#53 of 2,597","#50 of 2,496",Europe,Norway,Bergen,,"88,759",www.ncsu.edu,9195152011,"2101 Hillsborough Street
 Raleigh, North Carolina, 27695-7001 
United States"
Northeastern University,,,,North America,United States,Massachusetts,30%,"53,334",northeastern.edu,6173732000,"360 Huntington Ave
 Boston, Massachusetts, 02115-5005 
United States"
Northwestern University,"#28 of 14,131","#24 of 2,597","#23 of 2,496",North America,United States,South Carolina,,"169,284",www.northwestern.edu,8474913741,"633 Clark St
 Evanston, Illinois, 60208 
United States"
Norwegian University of Science and Technology,,,,North America,United States,California,67%,"60,015",www.ntnu.no,+47 73 59 50 00,"NTNU
 Trondheim, Trondelag, 7491 
Norway"
Ohio State University,"#24 of 14,131","#20 of 2,597","#19 of 2,496",Asia,China,Jinan,,"208,615",null,6142926446,"190 N. Oval Mall
 Columbus, Ohio, 43210 
United States"
Oklahoma State University,,,,North America,United States,California,17%,"32,350",go.okstate.edu,4057445000,"107 Whitehurst
 Stillwater, Oklahoma, 74078-1015 
United States"
Oregon State University,"#121 of 14,131","#72 of 2,597","#66 of 2,496",Europe,United Kingdom,England,1%,"55,134",oregonstate.edu,5417370123,"1500 SW Jefferson Avenue
 Corvallis, Oregon, 97331 
United States"
Osaka University,"#96 of 14,131","#6 of 5,830",#3 of 719,Europe,Germany,Bavaria,84%,"168,516",www.osaka-u.ac.jp,+81 (66) 877 5111,"1-1 Yamadaoka
 Suita, Osaka, 565-0871 
Japan"
Peking University,"#59 of 14,131","#4 of 5,830",#2 of 960,Europe,United Kingdom,England,,"184,856",www.pku.edu.cn,+86 (10) 6275 1246,"5 Yiheyuan Road, Haidian District
 Beijing, Beijing, 100871 
China"
Pennsylvania State University,"#23 of 14,131","#19 of 2,597","#18 of 2,496",Oceania,Australia,Brisbane,,"177,518",www.psu.edu,+1 (814) 865 4700,"201 Old Main
 University Park, Pennsylvania, 16802-1503 
United States"
Polytechnic University of Milan,,,,North America,United States,North Carolina,37%,"50,791",www.polimi.it,+39 02 2399 9738/6923,"Piazza Leonardo da Vinci, 32
 Milano, Lombardia, 20133 
Italy"
Princeton University,"#19 of 14,131","#16 of 2,597","#15 of 2,496",Europe,United Kingdom,England,,"135,109",princeton.edu,6092583000,"1 Nassau Hall
 Princeton, New Jersey, 08544-0070 
United States"
Purdue University,"#39 of 14,131","#34 of 2,597","#32 of 2,496",Latin America,Brazil,Porto Alegre,,"147,074",purdue.edu,7654944600,"Hovde Hall of Administration
 West Lafayette, Indiana, 47907-2040 
United States"
Queen Mary University of London,,,,North America,United States,Virginia,82%,"65,144",qmul.ac.uk,+44 (20) 7882 5555,"327 Mile End Road
 London, London, E1 4NS 
United Kingdom"
Queen's University,,,,North America,United States,Pennsylvania,16%,"50,624",www.qub.ac.uk,+1 (613) 533 2000,"206 Richardson Hall
 Kingston, Ontario, K7L 3N6 
Canada"
Queen's University Belfast,,,,Asia,Japan,Tokyo,35%,"70,384",queensu.ca,+44 (28) 9024 5133,"University Road
 Belfast, Northern Ireland, BT7 1NN 
United Kingdom"
Queensland University of Technology,,,,North America,United States,Pennsylvania,68%,"49,900",qut.edu.au,+61 (0)7 3138 2000,"2 George Street; GPO Box 2434
 Brisbane, Queensland, 4000 
Australia"
Radboud University,"#190 of 14,131","#65 of 2,785",#8 of 58,North America,United States,Ohio,14%,"72,493",www.ru.nl,+31 (24) 361 61 61,"Houtlaan 4
 Nijmegen, Gelderland, 6525 XZ 
Netherlands"
Rensselaer Polytechnic Institute,,,,North America,United States,New York State,11%,"35,120",rpi.edu,5182766000,"110 8th St
 Troy, New York, 12180-3590 
United States"
Rice University,"#173 of 14,131","#91 of 2,597","#81 of 2,496",Europe,Germany,North Rhine-Westphalia,10%,"51,655",www.rice.edu,7133480000,"6100 S Main St
 Houston, Texas, 77005-1827 
United States"
RMIT University,,,,North America,United States,California,80%,"73,582",www.rmit.edu.au,+61 (0)3 9925 2000,"124 La Trobe Street
 Melbourne, Victoria, 3000 
Australia"
Ruhr University Bochum,,,,Europe,Denmark,Copenhagen,48%,"64,180",www.ruhr-uni-bochum.de,+49 (234) 32 25483,"Universitätsstrasse 150
 Bochum, North Rhine-Westphalia, 44801 
Germany"
Rutgers University - New Brunswick,"#35 of 14,131","#31 of 2,597","#29 of 2,496",Europe,Poland,Warsaw,,"143,641",newbrunswick.rutgers.edu,8484454636,"83 Somerset St
 New Brunswick, New Jersey, 08901-1281 
United States"
RWTH Aachen University,"#157 of 14,131","#49 of 2,785",#11 of 369,Europe,Spain,Madrid,42%,"85,888",rwth-aachen.de,+49 (241) 801,"Templergraben 55
 Aachen, North Rhine-Westphalia, 52062 
Germany"
Sapienza University of Rome,"#104 of 14,131","#25 of 2,785",#2 of 88,Europe,Germany,Saxony,42%,"138,535",www.uniroma1.it,+39 06 4991 0292,"Piazzale Aldo Moro, 5
 Roma, Lazio, 00185 
Italy"
Seoul National University,"#159 of 14,131","#15 of 5,830",#1 of 193,North America,United States,Colorado,84%,"123,239",snu.ac.kr,+82 (2) 880 4447,"1 Gwanak-ro, Gwanak-gu
 Seoul, Seoul, 151-742 
South Korea"
Shandong University,,,,North America,United States,Ohio,21%,"99,504",sdu.edu.cn,+86 (531) 883 64853,"27 Shanda S Road, Licheng
 Jinan, Shandong, 250100 
China"
Shanghai Jiao Tong University,"#110 of 14,131","#8 of 5,830",#4 of 960,North America,United States,South Carolina,72%,"183,572",www.sjtu.edu.cn,+86 (21) 6293 2414,"800 Dongchuan Road, Minhang
 Shanghai, Shanghai, 200240 
China"
Simon Fraser University,"#129 of 14,131","#76 of 2,597",#7 of 101,Europe,Czech Republic,Prague,66%,"45,185",www.sfu.ca,+1 (778) 782 6930,"8888 University Drive
 Burnaby, British Columbia, V5A1S6 
Canada"
Stanford University,"#2 of 14,131","#2 of 2,597","#2 of 2,496",Europe,Ireland,Dublin,,"287,025",stanford.edu,6507232300,"450 Serra Mall
 Stanford, California, 94305 
United States"
State University of Campinas,,,,North America,Canada,Quebec State,5%,"105,481",www.unicamp.br,+55 (19) 3521 4718,"Cidade Universitária Zeferino Vaz s/n - Barão Geraldo
 Campinas, Sao Paulo, 13083-970 
Brazil"
Stockholm University,,,,Europe,Austria,Vienna,75%,"55,990",www.su.se,+46 (8) 162 000,"Universitetsvägen 10
 Stockholm, Stockholm County, 106 91 
Sweden"
Stony Brook University,,,,North America,United States,Iowa State,96%,"60,687",www.stonybrook.edu,6316326000,"310 Administration Building
 Stony Brook, New York, 11794-0701 
United States"
Sun Yat - Sen University,,,,Asia,China,Beijing,30%,"117,251",sysu.edu.cn,+86 (20) 8411 1085,"135 Xingang Xilu
 Guangzhou, Guangdong, 510275 
China"
Swiss Federal Institute of Technology Zurich,"#62 of 14,131","#8 of 2,785",#1 of 23,Europe,Italy,Tuscany,,"109,500",ethz.ch,+41 (44) 632 1111,"Rämistrasse 101
 Zürich, Zurich, 8092 
Switzerland"
Technical University of Berlin,,,,Europe,United Kingdom,Scotland,57%,"53,153",www.tu.berlin,+49 (30) 3140,"Strasse des 17. Juni 135
 Berlin, Berlin, 10623 
Germany"
Technical University of Denmark,,,,Europe,United Kingdom,England,35%,"59,495",www.dtu.dk,+45 4525 2525,"Anker Engelundsvej 1
 Kongens Lyngby, Capital Region of Denmark, 2800 
Denmark"
Technical University of Munich,"#86 of 14,131","#16 of 2,785",#3 of 369,North America,United States,California,17%,"109,945",www.tum.de,+49 (89) 289 01,"Arcisstrasse 21
 München, Bavaria, 80333 
Germany"
Technion - Israel Institute of Technology,,,,Europe,United Kingdom,England,18%,"68,575",www.technion.ac.il,+972 (4) 829 2111,"Technion City
 Haifa, Haifa District, 32000 
Israel"
Tel Aviv University,"#119 of 14,131","#10 of 5,830",#1 of 36,North America,United States,New York State,18%,"101,800",tau.ac.il,+972 (3) 640 8111,"PO Box 39040
 Tel Aviv, Tel Aviv District, 6997801 
Israel"
Temple University,"#163 of 14,131","#89 of 2,597","#79 of 2,496",North America,United States,Tennessee,12%,"59,274",temple.edu,2152047000,"1801 North Broad Street
 Philadelphia, Pennsylvania, 19122-6096 
United States"
Texas A&M University - College Station,"#41 of 14,131","#36 of 2,597","#34 of 2,496",Asia,Japan,Tokyo,,"144,192",www.tamu.edu,9798453211,"JKW Administration Building, Suite 200
 College Station, Texas, 77843-1248 
United States"
Tohoku University,"#123 of 14,131","#11 of 5,830",#4 of 719,Europe,United Kingdom,England,32%,"153,863",www.tohoku.ac.jp,+81 (22) 217 4844,"2-1-1 Katahira, Aoba-ku
 Sendai, Miyagi, 980-8577 
Japan"
Tokyo Institute of Technology,,,,North America,United States,Texas,85%,"92,622",www.titech.ac.jp,+81 (3) 5734 2975,"2-12-1 O-Okayama, Meguro-ku
 Tokyo, Tokyo, 152-8550 
Japan"
